# ieee-iab.txt -- Ethernet vendor IAB file for arp-scan
#
# This file contains the Ethernet vendor IABs for arp-scan.  These are used
# to determine the vendor for a give Ethernet interface given the MAC address.
#
# Each line of this file contains an IAB-vendor mapping in the form:
#
# <IAB><TAB><Vendor>
#
# Where <IAB> is the first 36 bits of the MAC address in hex, and <Vendor>
# is the name of the vendor.
#
# Blank lines and lines beginning with "#" are ignored.
#
# This file was automatically generated by get-iab at 2006-06-25 12:59:22
# using data from http://standards.ieee.org/regauth/oui/iab.txt
#
0050C2000	T.L.S. Corp.
0050C2001	JMBS Developpements
0050C2002	Integrated Automation Solutions
0050C2003	Microsoft
0050C2004	SCI Technology Inc.
0050C2005	GD California, Inc.
0050C2006	Project Management Enterprises, Inc.
0050C2007	Clive Green & Co. Ltd.
0050C2008	Portable Add-Ons
0050C2009	Datakinetics Ltd.
0050C200A	Tharsys
0050C200B	IO Limited
0050C200C	Vbrick Systems Inc.
0050C200D	Opus Telecom Inc.
0050C200E	TTTech
0050C200F	XLN-t
0050C2010	Moisture Systems
0050C2011	BIHL & Wiedemann GmbH
0050C2012	Floware System Solutions Ltd.
0050C2013	Sensys Technologies Inc.
0050C2014	Canal +
0050C2015	Leroy Automatique Industrielle
0050C2016	DSP Design Ltd.
0050C2017	Hunter Technology Inc.
0050C2018	CAD-UL GmbH
0050C2019	Emtac Technology Corp.
0050C201A	Skylake Talix
0050C201B	Cross Products Ltd.
0050C201C	Tadiran Scopus
0050C201D	Princeton Gamma Tech
0050C201E	CallTech International Limited
0050C201F	KBS Industrieelektronik GmbH
0050C2020	Icon Research Ltd.
0050C2021	DRS Technologies Canada Co.
0050C2022	Ashling Microsystems Ltd.
0050C2023	Zabacom, Inc.
0050C2024	IPITEK
0050C2025	Teracom Telematica Ltda.
0050C2026	Abatis Systems Corp.
0050C2027	Industrial Control Links
0050C2028	The Frensch Corporation
0050C2029	Grossenbacher Systeme AG
0050C202A	VersaLogic Corp.
0050C202B	Nova Engineering Inc.
0050C202C	Narrowband Telecommunications
0050C202D	Innocor LTD
0050C202E	Turtle Mountain Corp
0050C202F	Sinetica Corp
0050C2030	Lockheed Martin Tactical Defense Systems Eagan
0050C2031	Eloquence Ltd
0050C2032	MotionIO
0050C2033	Doble Engineering Company
0050C2034	Ing. Buero W. Kanis GmbH
0050C2035	Alliant Techsystems, Inc.
0050C2036	Arcturus Networks, Inc.
0050C2037	E.I.S.M.
