# ieee-oui.txt -- Ethernet vendor OUI file for arp-scan
#
# This file contains the Ethernet vendor OUIs for arp-scan.  These are used
# to determine the vendor for a give Ethernet interface given the MAC address.
#
# Each line of this file contains an OUI-vendor mapping in the form:
#
# <OUI><TAB><Vendor>
#
# Where <OUI> is the first three bytes of the MAC address in hex, and <Vendor>
# is the name of the vendor.
#
# Blank lines and lines beginning with "#" are ignored.
#
# This file was automatically generated by get-oui at 2017-03-03 14:08:26
# using data from http://linuxnet.ca/ieee/oui.txt
#
# Do not edit this file.  If you want to add additional MAC-Vendor mappings,
# edit the file mac-vendor.txt instead.
#
E043DB	Shenzhen ViewAt Technology Co. Ltd
2405F5	Integrated Device Technology (Malaysia) Sdn. Bhd.
2C3033	Netgear
3CD92B	Hewlett-Packard Company
9C8E99	Hewlett-Packard Company
B499BA	Hewlett-Packard Company
1CC1DE	Hewlett-Packard Company
3C3556	Cognitec Systems GmbH
0050BA	D-Link Corporation
00179A	D-Link Corporation
1CBDB9	D-Link International
9094E4	D-Link International
28107B	D-Link International
1C7EE5	D-Link International
C4A81D	D-Link International
18622C	Sagemcom Broadband SAS
7C03D8	Sagemcom Broadband SAS
E8F1B0	Sagemcom Broadband SAS
00F871	DGS Denmark A/S
20BB76	CoL GIOVANNI PAOLO SpA
2C228B	CTR SRL
348AAE	Sagemcom Broadband SAS
BCEC23	Shenzhen Chuangwei-RGB Electronics Co. Ltd
8CE748	Private
AC06C7	ServerNet S.r.l.
CC46D6	Cisco Systems Inc.
48AD08	Huawei Technologies Co. Ltd
2CAB00	Huawei Technologies Co. Ltd
00E0FC	Huawei Technologies Co. Ltd
24DF6A	Huawei Technologies Co. Ltd
009ACD	Huawei Technologies Co. Ltd
00CDFE	Apple
38F23E	Microsoft Mobile Oy
58AC78	Cisco Systems Inc.
907F61	Chicony Electronics Co. Ltd
28BC18	SourcingOverseas Co. Ltd
807ABF	HTC Corporation
409F87	Jide Technology (Hong Kong) Limited
3C5AB4	Google, Inc.
001A11	Google, Inc.
D83C69	Shenzhen TINNO Mobile Technology Corp.
74AC5F	Qiku Internet Network Scientific (Shenzhen) Co. Ltd
18AF61	Apple
BC83A7	Shenzhen Chuangwei-RGB Electronics Co. Ltd
000347	Intel Corporation
001175	Intel Corporation
0013E8	Intel Corporation
001302	Intel Corporation
E4F89C	Intel Corporation
A402B9	Intel Corporation
4C3488	Intel Corporation
000D0B	Buffalo.Inc
000740	Buffalo.Inc
0024A5	Buffalo.Inc
DCFB02	Buffalo.Inc
F4CE46	Hewlett-Packard Company
001CC4	Hewlett-Packard Company
0025B3	Hewlett-Packard Company
001871	Hewlett-Packard Company
000BCD	Hewlett-Packard Company
000E7F	Hewlett-Packard Company
000F20	Hewlett-Packard Company
00110A	Hewlett-Packard Company
001321	Hewlett-Packard Company
001635	Hewlett-Packard Company
0017A4	Hewlett-Packard Company
000802	Hewlett-Packard Company
90E7C4	HTC Corporation
74A78E	zte Corporation
D860B0	bioM?rieux Italia S.p.A.
8038BC	Huawei Technologies Co. Ltd
D440F0	Huawei Technologies Co. Ltd
64A651	Huawei Technologies Co. Ltd
E8CD2D	Huawei Technologies Co. Ltd
ACE215	Huawei Technologies Co. Ltd
EC233D	Huawei Technologies Co. Ltd
78F5FD	Huawei Technologies Co. Ltd
80B686	Huawei Technologies Co. Ltd
10C61F	Huawei Technologies Co. Ltd
8853D4	Huawei Technologies Co. Ltd
0C37DC	Huawei Technologies Co. Ltd
BC7670	Huawei Technologies Co. Ltd
24DBAC	Huawei Technologies Co. Ltd
0021E8	Murata Manufacturing Co. Ltd
006057	Murata Manufacturing Co. Ltd
0007D8	Hitron Technologies. Inc
0012F2	Brocade Communications Systems, Inc.
001BED	Brocade Communications Systems, Inc.
002438	Brocade Communications Systems, Inc.
84742A	zte Corporation
681AB2	zte Corporation
E005C5	TP-Link Technologies Co. Ltd
A0F3C1	TP-Link Technologies Co. Ltd
8C210A	TP-Link Technologies Co. Ltd
EC172F	TP-Link Technologies Co. Ltd
EC888F	TP-Link Technologies Co. Ltd
14CF92	TP-Link Technologies Co. Ltd
645601	TP-Link Technologies Co. Ltd
14CC20	TP-Link Technologies Co. Ltd
BC4699	TP-Link Technologies Co. Ltd
0C45BA	Huawei Technologies Co. Ltd
847778	Cochlear Limited
0453D5	Sysorex Global Holdings
CC4463	Apple
6C72E7	Apple
CCA223	Huawei Technologies Co. Ltd
E8088B	Huawei Technologies Co. Ltd
60E701	Huawei Technologies Co. Ltd
000883	Hewlett-Packard Company
C4346B	Hewlett-Packard Company
8CDCD4	Hewlett-Packard Company
3464A9	Hewlett-Packard Company
D4C9EF	Hewlett-Packard Company
A45D36	Hewlett-Packard Company
A0D3C1	Hewlett-Packard Company
40A8F0	Hewlett-Packard Company
6C3BE5	Hewlett-Packard Company
082E5F	Hewlett-Packard Company
28924A	Hewlett-Packard Company
10604B	Hewlett-Packard Company
308D99	Hewlett-Packard Company
0030C1	Hewlett-Packard Company
FC3FDB	Hewlett-Packard Company
4CA161	Rain Bird Corporation
7C6193	HTC Corporation
001217	Cisco-Linksys LLC
000C41	Cisco-Linksys LLC
000F66	Cisco-Linksys LLC
44E08E	Cisco SPVTG
185933	Cisco SPVTG
E448C7	Cisco SPVTG
24767D	Cisco SPVTG
2CABA4	Cisco SPVTG
0002C7	Alps Electric Co. Ltd
04766E	Alps Electric Co. Ltd
006B8E	Shanghai Feixun Communication Co. Ltd
AC853D	Huawei Technologies Co. Ltd
74882A	Huawei Technologies Co. Ltd
78D752	Huawei Technologies Co. Ltd
E0247F	Huawei Technologies Co. Ltd
00464B	Huawei Technologies Co. Ltd
707BE8	Huawei Technologies Co. Ltd
548998	Huawei Technologies Co. Ltd
0819A6	Huawei Technologies Co. Ltd
3CF808	Huawei Technologies Co. Ltd
B41513	Huawei Technologies Co. Ltd
283152	Huawei Technologies Co. Ltd
DCD2FC	Huawei Technologies Co. Ltd
0003DD	Comark Interactive Solutions
00107B	Cisco Systems Inc.
00906D	Cisco Systems Inc.
0090BF	Cisco Systems Inc.
005080	Cisco Systems Inc.
00E018	ASUSTek Computer Inc.
000C6E	ASUSTek Computer Inc.
001BFC	ASUSTek Computer Inc.
001E8C	ASUSTek Computer Inc.
0015F2	ASUSTek Computer Inc.
002354	ASUSTek Computer Inc.
001FC6	ASUSTek Computer Inc.
60182E	ShenZhen Protruly Electronic Ltd Co.
F4CFE2	Cisco Systems Inc.
501CBF	Cisco Systems Inc.
285FDB	Huawei Technologies Co. Ltd
404D8E	Huawei Technologies Co. Ltd
781DBA	Huawei Technologies Co. Ltd
001E10	Huawei Technologies Co. Ltd
88F031	Cisco Systems Inc.
508789	Cisco Systems Inc.
381C1A	Cisco Systems Inc.
F40F1B	Cisco Systems Inc.
BC671C	Cisco Systems Inc.
A0ECF9	Cisco Systems Inc.
D46D50	Cisco Systems Inc.
1CE85D	Cisco Systems Inc.
C47295	Cisco Systems Inc.
A0554F	Cisco Systems Inc.
84B802	Cisco Systems Inc.
BCC493	Cisco Systems Inc.
001947	Cisco SPVTG
0022CE	Cisco SPVTG
F02929	Cisco Systems Inc.
ECE1A9	Cisco Systems Inc.
7C69F6	Cisco Systems Inc.
C08C60	Cisco Systems Inc.
C0255C	Cisco Systems Inc.
885A92	Cisco Systems Inc.
E4C722	Cisco Systems Inc.
C07BBC	Cisco Systems Inc.
0090F2	Cisco Systems Inc.
00173B	Cisco Systems Inc.
00400B	Cisco Systems Inc.
006009	Cisco Systems Inc.
006047	Cisco Systems Inc.
0006C1	Cisco Systems Inc.
00E014	Cisco Systems Inc.
00E01E	Cisco Systems Inc.
ACF2C5	Cisco Systems Inc.
CCC760	Apple
087402	Apple
285AEB	Apple
28F076	Apple
84285A	Saffron Solutions Inc
80A1AB	Intellisis
44D884	Apple
EC852F	Apple
286ABA	Apple
705681	Apple
7CD1C3	Apple
F0DCE2	Apple
B065BD	Apple
A82066	Apple
BC6778	Apple
68967B	Apple
848506	Apple
B4F0AB	Apple
10DDB1	Apple
04F7E4	Apple
34C059	Apple
F0D1A9	Apple
F82793	Apple
ACFDEC	Apple
D0E140	Apple
F832E4	ASUSTek Computer Inc.
8C7C92	Apple
7831C1	Apple
F437B7	Apple
54AE27	Apple
6476BA	Apple
84B153	Apple
783A84	Apple
2CBE08	Apple
24E314	Apple
0010FF	Cisco Systems Inc.
34BDC8	Cisco Systems Inc.
54A274	Cisco Systems Inc.
5897BD	Cisco Systems Inc.
046C9D	Cisco Systems Inc.
60FEC5	Apple
00A040	Apple
BC3BAF	Apple
786C1C	Apple
041552	Apple
38484C	Apple
701124	Apple
C86F1D	Apple
685B35	Apple
380F4A	Apple
3010E4	Apple
04DB56	Apple
881FA1	Apple
04E536	Apple
109ADD	Apple
40A6D9	Apple
7CF05F	Apple
A4B197	Apple
0C74C2	Apple
403004	Apple
4860BC	Apple
50EAD6	Apple
28E02C	Apple
60C547	Apple
7C11BE	Apple
003EE1	Apple
68D93C	Apple
2CF0EE	Apple
84788B	Apple
6C94F8	Apple
703EAC	Apple
C01ADA	Apple
34363B	Apple
C81EE7	Apple
9CFC01	Apple
000D93	Apple
001CB3	Apple
64B9E8	Apple
34159E	Apple
58B035	Apple
F0B479	Apple
141357	ATP Electronics, Inc.
F44B2A	Cisco SPVTG
3C8CF8	TRENDnet, Inc.
78D6B2	Toshiba
C04A09	Zhejiang Everbright Communication Equip. Co,. Ltd
F00D5C	JinQianMao  Technology Co. Ltd
2C081C	OVH
30E090	Linctronix Ltd,
70BF3E	Charles River Laboratories
D848EE	Hangzhou Xueji Technology Co. Ltd
88947E	Fiberhome Telecommunication Technologies Co. Ltd
88C242	Poynt Co.
E8343E	Beijing Infosec Technologies Co. Ltd
C4ADF1	GOPEACE Inc.
58F496	Source Chain
80B709	Viptela, Inc
1C60DE	Shenzhen Mercury Communication Technologies Co. Ltd
741865	Shanghai DareGlobal Technologies Co. Ltd
0084ED	Private
DCDC07	TRP Systems BV
080A4E	Planet Bingo(R) -- 3rd Rock Gaming(R)
0C1A10	Acoustic Stream
E4A387	Control Solutions LLC
DC82F6	iPort
C49E41	G24 Power Limited
